term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),3.8024161944016472,0.176130322376979,21.588651761297402,9.262975944532223e-68,3.456089351886389,4.148743036916906
cpn_total,-0.11250113214867372,0.02166037768366162,-5.193867521226701,3.3866656404630457e-7,-0.15509215287487535,-0.06991011142247208
cpn_precoceTRUE,-0.436890425333518,0.05784529709903738,-7.552738895705118,3.284102946369049e-13,-0.5506322207739894,-0.32314862989304655
distance_cs,0.03963050039811312,0.005690415826625579,6.964429596283834,1.4856006506549997e-11,0.028441377939028387,0.05081962285719785
milieuUrbain,-0.24230533893127007,0.06834726459009742,-3.5452090202067397,4.4192104572696216e-4,-0.37669725975782953,-0.10791341810471061
instructionPrimaire,0.0166194747097015,0.0811233186058672,0.204866800265485,0.8377873453164757,-0.1428941309430265,0.17613308036242953
instructionSecondaire,0.08121201520426385,0.08307110558871253,0.9776204930550331,0.3288923017540315,-0.08213154378391158,0.24455557419243928
instructionSuperieur,0.08817610537334185,0.10398157382112796,0.8479974108203524,0.3969803390572906,-0.11628391976736811,0.2926361305140518
age_mere,0.002960990390924199,0.004832236848166805,0.6127577111721052,0.5404079688149588,-0.006540686023030009,0.012462666804878408
